title_id,title_name,description,title_page_url
8596,Last Man Standing,"Barely surviving in a household full of women, a man evaluates how far the modern woman has come and wonders what has become of all the men.",https://www.hotstar.com/in/shows/last-man-standing/8596
10637,Nadandhadhu Enna,An investigative show that probes into untold stories and hidden truths about social issues and freak happenings that impact our society.,https://www.hotstar.com/in/shows/nadandhadhu-enna/10637
1260128789,Mo Jiban Sathi,"Struck by tragedy, IPS aspirant Shikha ends up marrying a local confectioner Jyoti. Amid dire times, she defies the odds with her husband as the guiding light.",https://www.hotstar.com/in/shows/mo-jiban-sathi/1260128789
10648,Onaupperi,"Shaju Navodaya and Noby are at their wittiest best as they welcome the festival of Kerala, Onam.",https://www.hotstar.com/in/shows/onaupperi/10648
1271272084,Vanderpump Villa,"NEW EPISODE EVERY MONDAY AT 12:30 PM. Decadence and debauchery collide as Lisa Vanderpump’s hand-selected staff work, live, and play at an exclusive French estate: Chateau Rosabelle.",https://www.hotstar.com/in/shows/vanderpump-villa/1271272084
1260041309,Durga Durgatinashini,"An epic retelling of Rama invoking Goddess Durga to seek her blessings to defeat Ravana, and Goddess Mahamaya's triumph over evil.",https://www.hotstar.com/in/shows/durga-durgatinashini/1260041309
13019,Lakshmi Kalyaanam,"Having lost their mother during their childhood, Lakshmi and Swathi stand by each other to fight many obstacles. What does fate have in store for the sisters?",https://www.hotstar.com/in/shows/lakshmi-kalyaanam/13019
1260022637,Marvel's Ultimate Comics,"Spider-Man and Iron Man team-up to defeat a re-energized Batroc the Leaper. Black Panther battles against super-villain, Ghost.",https://www.hotstar.com/in/shows/marvel-s-ultimate-comics/1260022637
15094,5 Star Payasam,5 Star Payasam is an Onam special Malayalam reality show on Asianet Plus. Celebrate the festivities of Onam with stars of the show 5 Star Thattukada. Watch full episodes of 5 Star Payasam online on Hotstar.,https://www.hotstar.com/in/shows/5-star-payasam/15094
1260048090,C U Soon - Let's Enjoy,The cast and crew of C U Soon will see you here for a chat. Don't miss the fun!,https://www.hotstar.com/in/shows/c-u-soon-let-s-enjoy/1260048090
1260117151,Dr. Stone,"All of humanity is turned to stone. Thousands of years later, Senku, a scientific genius, wakes up.",https://www.hotstar.com/in/shows/dr-stone/1260117151
1260055414,Star Suvarna Sambhrama,Tune in for a spectacular evening as the stars of Namma Lachi and Katheyondu Shuruvagide come together for endless fun and entertainment.,https://www.hotstar.com/in/shows/star-suvarna-sambhrama/1260055414
1260108189,Na Umra Ki Seema Ho,"Vidhi, a young woman, falls in love with Devratha, a middle-aged tycoon. Together they embark on a journey of love and acceptance beyond the barrier of age.",https://www.hotstar.com/in/shows/na-umra-ki-seema-ho/1260108189
1260077204,Human,"In the race to make the next money-spinning drug, saving lives takes a backseat and people become less than human. Step into the murky world of drug trials.",https://www.hotstar.com/in/shows/human/1260077204
9827,Mammoottiyude Kasaba,"Mammoottiyude Kasaba is a Malayalam talk show, on Asianet. Mollywood mega star Mammootty talks about his latest festival release 'Kasaba'. Participating with him in this talk show are the film's heroine, Varalakshmi Sarathkumar and debutant director, Nithin Renji Panikker. Watch full episodes of Mammoottiyude Kasaba online on Hotstar.",https://www.hotstar.com/in/shows/mammoottiyude-kasaba/9827
8813,Leela Movie Specials,"Leela Movie Specials is a Malayalam talk show on Asianet. In this special show, the cast and crew of the recently released Malayalam film Leela, share their experiences of working on the film. With Biju Menon and Parvathy Nambiar in lead roles, the movie is directed by Renjith. Watch full episodes of Leela Movie Specials online on Hotstar.",https://www.hotstar.com/in/shows/leelavishesham/8813
1260117636,Raju Srivastava - Yaadgar Pal,"Remembering the life of late comedian Raju Srivastava aka Gajodhar Bhaiya, his stories and how he brought laughter into our mundane lives.",https://www.hotstar.com/in/shows/raju-srivastava-yaadgar-pal/1260117636
15197,Origins: Journey of Humankind,"Travel back in time across human history on the quest to discover the ""origin"" moment, that truly made us modern and brought us where we are today.",https://www.hotstar.com/in/shows/origins-journey-of-humankind/15197
