title_id,title_name,description,title_page_url
1260027388,Pooh's Grand Adventure: The Search For Christopher Robin,"Winnie the Pooh and company embark on a quest to rescue Christopher Robin from certain doom in a place called ""Skull"" after misreading a note he left for them.",https://www.hotstar.com/in/movies/pooh-s-grand-adventure-the-search-for-christopher-robin/1260027388
1260147365,Project CC,A brilliant child scientist must join forces with her sister when a cloning experiment goes awry.,https://www.hotstar.com/in/movies/project-cc/1260147365
1260040109,Mukundan,Arjun's friendship with Mukunda is tested when the former falls in love with the daughter of a powerful man in the village. Will Mukunda protect his friend?,https://www.hotstar.com/in/movies/mukundan/1260040109
1260023082,Kim Possible Movie: So The Drama,"Kim and Ron Stoppable's friendship put to the ultimate test when a new kid at the school, Erik, steals Kim's heart.",https://www.hotstar.com/in/movies/kim-possible-movie-so-the-drama/1260023082
1260115675,Jawani Diwani,"Mann, an aspiring singer, woos a rich girl and decides to marry her only to accomplish his dreams. Will he succeed in his well-thought-out plan?",https://www.hotstar.com/in/movies/jawani-diwani/1260115675
1000036265,My Big Father,"Alby vows never to wed a girl who will make fun of Kunjumon, his father who's a dwarf. Kunjumon's life becomes worse after Alby falls for Ancy and marries her.",https://www.hotstar.com/in/movies/my-big-father/1000036265
1260026999,An Extremely Goofy Movie,"Goofy and his son, Max, set out on a hilarious adventure that kicks up outrageous fun on the road to higher education.",https://www.hotstar.com/in/movies/an-extremely-goofy-movie/1260026999
1260148801,Aasai,"Blinded by the desire for his sister-in-law, Madhavan makes attempts to intrude into her life. He lands in a fix when her fiancé Jeeva tails him.",https://www.hotstar.com/in/movies/aasai/1260148801
1260067821,Bhoot Police,"Two brothers Vibhooti and Chiraunji have ‘fought’ their share of ghosts. However, a new case forces them to rethink their own abilities and beliefs.",https://www.hotstar.com/in/movies/bhoot-police/1260067821
1000026114,Yathumaagi,"Anand is a photographer who falls for Annalakshmi, a conservative girl. Everyone expects them to marry, but Anand surprises by agreeing to an arranged marriage.",https://www.hotstar.com/in/movies/yathumaagi/1000026114
1000102191,Positive,"Raju runs a music band with friends. A chance encounter with Jyothi leads to romance. When she disappears without a trace, he finds himself accused of murder.",https://www.hotstar.com/in/movies/positive/1000102191
1260154875,The Shepherd,"Christmas Eve 1957. A pilot runs out of fuel, until a mysterious good Samaritan helps him home.",https://www.hotstar.com/in/movies/the-shepherd/1260154875
1260084736,West Side Story,"Forbidden love blooms between Tony and Maria, amidst the rivalry between the Jets and the Sharks, two street gangs of different ethnic backgrounds.",https://www.hotstar.com/in/movies/west-side-story/1260084736
1000225151,Chameli,"On a stormy night, a sudden encounter with Chameli, a prostitute changes the life of a depressed investment banker, forever.",https://www.hotstar.com/in/movies/chameli/1000225151
1000069988,Dhairyam,Seenu and Mallika are in love but hail from different backgrounds. Seenu gets arrested when Mallika's father finds out about them. Will love conquer all?,https://www.hotstar.com/in/movies/dhairyam/1000069988
