title_id,name,description,type,entitlements,release_year,primary_genre,secondary_genre,maturity_rating,backdrop_path,url
amzn1.dv.gti.42d964b0-a0eb-4db6-8719-d6615d4523ce,The Marvelous Mrs. Maisel – Season 5,"In the fifth and final season, Midge finds herself closer than ever to the success she's dreamed of, only to discover that closer than ever is still so far away.",TV Show,['prime'],2017,Drama,['Comedy'],A,"https://m.media-amazon.com/images/S/pv-target-images/48a757c656b2e9eec0d3b11563f9af1f7f9b0b01c9a441d0abe4e0119d10d264._UR1920,1080_UX667_UY375_.png",https://www.primevideo.com/detail/0J431AFPETB3GWIU5B63NKJV0U/ref=atv_br_def_r_br_c_unkc_1_174
amzn1.dv.gti.c4b35626-2b43-ffd0-505b-c1a08805055f,Legacies - Season 1,"The iconic heroes and villains of The Vampire Diaries and The Originals left an enduring legacy of love and family in their wake, which continues in LEGACIES, a thrilling new drama that tells the story of the next generation of supernatural beings at The Salvatore School for the Young and Gifted.",TV Show,['prime'],2019,Drama,"['Fantasy', 'Horror']",U/A 16+,"https://m.media-amazon.com/images/S/pv-target-images/3fd1a5aea5a385302b6ab30e6e6e8e4e95a43943932ae36b182266c45d162ce2._UR1920,1080_UX667_UY375_.jpg",https://www.primevideo.com/detail/0QSU1XC4H6RGM95NVT6T759XZZ/ref=atv_br_def_r_br_c_unkc_1_175
amzn1.dv.gti.b3d7de47-2f3d-4da8-afe3-f2972ed6a1fd,Deadloch - Season 1,Two vastly different female detectives are thrown together to solve the murder of a local man in the sleepy seaside hamlet of Deadloch.,TV Show,['prime'],2023,Comedy,,A,"https://m.media-amazon.com/images/S/pv-target-images/23a85ca4fa6b16865e5ad868eb72e097217d54bc4579913daa458e4c04279007._UR1920,1080_UX667_UY375_.jpg",https://www.primevideo.com/detail/0PSWNKLZU06NCWW1V2J4CVRBI5/ref=atv_br_def_r_br_c_unkc_1_176
amzn1.dv.gti.ff5615bb-c7fa-4b08-9824-f9f7ecbe87e4,In Your Dreams - Season 1,"Best friends, Marcus and Lloyd, have just been evicted from their apartment and are struggling to keep their pest control business afloat. Then an old classmate introduces them to an ancient African statue that just might be the answer to their prayers. The tribe who created the relic believes it has the power to make dreams come true. Just not the kind of dreams our friends were hoping for.",TV Show,['prime'],2023,Adventure,"['Science Fiction', 'Fantasy']",U/A 16+,"https://m.media-amazon.com/images/S/pv-target-images/8de44aa8a3e9284e771569715dba9c67ae7447674a9b79b7d7b3c6c4cb234780._UR1920,1080_UX667_UY375_.jpg",https://www.primevideo.com/detail/0U9SYIHEXZBZ4WMPW3E82AUUHW/ref=atv_br_def_r_br_c_unkc_1_177
amzn1.dv.gti.81d0759a-a156-4ee6-938f-26d94154d8e6,Hip Hop India - Season 1,"India's first hip-hop dance reality show brings together the vibrant and talented underground dancing community for the mainstream audience. Spearheaded by renowned choreographer Remo D'Souza and worldwide sensation and dance icon Nora Fatehi, the show aims to discover India's first Hip Hop Dance Champion.",TV Show,[],2023,Unscripted,,U/A 16+,"https://m.media-amazon.com/images/S/pv-target-images/84df3ec75d90a2a3d718fe9326363a964c4cb15a7ab5f651c0c2712dfe467fd7._UR1920,1080_UX667_UY375_.jpg",https://www.primevideo.com/detail/0MUA486RE2NR81RLQ2LNWDRD9I/ref=atv_br_def_r_br_c_unkc_1_178
amzn1.dv.gti.72fa4f39-c445-45db-a267-110ef32b17c8,The Gryphon - Season 1,"Based on the fantasy bestseller: To save humanity from the Gryphon’s claws, outcast Mark must confront his family’s dark legacy and enter a deadly battle in the parallel world of the Black Tower.",TV Show,['prime'],2023,Suspense,"['Drama', 'Fantasy']",U/A 16+,"https://m.media-amazon.com/images/S/pv-target-images/dbe952ee6ca1dfd671d270d250d6e772b6c372c466a22c8f2be746297a89f429._UR1920,1080_UX667_UY375_.jpg",https://www.primevideo.com/detail/0LYNRJWRK3M0VQQLS0IRI7NU88/ref=atv_br_def_r_br_c_unkc_1_179
amzn1.dv.gti.10abf1b7-f8f6-e1e5-a50e-b907bf4ab557,The Good Wife - Season 1,THE GOOD WIFE is a drama starring Emmy Award winner Julianna Margulies as a wife and mother who boldly assumes full responsibility for her family and re-enters the workforce after her husband's very public sex and political corruption scandal lands him in jail.,TV Show,['prime'],2010,Suspense,['Drama'],U/A 16+,"https://m.media-amazon.com/images/S/pv-target-images/114861ac47f863232fce4043f9af48c475413bca4c20bd28913ea52382574880._UR1920,1080_UX667_UY375_.jpg",https://www.primevideo.com/detail/0G553I5RHVJ08J6G2VTH89EWK7/ref=atv_br_def_r_br_c_unkc_1_180
amzn1.dv.gti.46b5e20f-3757-0d56-d462-2b1e28dd26d5,VINLAND SAGA,"Around the end of the millennium, Viking, the mightiest but atrocious tribe, had been outbreaking everywhere. Thorfinn, the son of the greatest warrior, lived his childhood in the battlefield. He was seeking the land of reverie called Vinland. This is the story of a true warrior in an age of turmoil.",TV Show,['prime'],2019,Animation,"['Drama', 'Anime']",A,"https://m.media-amazon.com/images/S/pv-target-images/9074a6bc13c832b4b25ca3a19759023931e8828ab3c9e21011f37fb278d01e58._UR1920,1080_UX667_UY375_.png",https://www.primevideo.com/detail/0JCBAQM21T35H8URDVGEMXG1XX/ref=atv_br_def_r_br_c_unkc_1_181
amzn1.dv.gti.0aac25d6-335b-4437-e9ba-4e5510fc5364,Community - Season 1,"When his college degree is challenged as a fake, lawyer and schemer Jeff Winger is forced to return to school.",TV Show,['prime'],2010,Comedy,,U/A 16+,"https://m.media-amazon.com/images/S/pv-target-images/cde5b6745c5294140959dee7a0d2a95c4799bdacfed23856aafde368dbacd303._UR1920,1080_UX667_UY375_.jpg",https://www.primevideo.com/detail/0FSCST8TJY66NMU5THV9XM49K4/ref=atv_br_def_r_br_c_unkc_1_182
amzn1.dv.gti.6cf40c25-f0f1-4573-85e5-96fae9deae5c,Swarm - Season 1,Murder. Sex. Music. This is not a work of fiction.,TV Show,['prime'],2023,Suspense,"['Drama', 'Comedy']",A,"https://m.media-amazon.com/images/S/pv-target-images/2b1caaf93c6788ae4a74326749c230bb480c477c6e51cb2c40df7722fe5bb85f._UR1920,1080_UX667_UY375_.png",https://www.primevideo.com/detail/0LLTJ3KT4TJ6V4O9PDIO3VD0F0/ref=atv_br_def_r_br_c_unkc_1_183
